,雇主id,雇主名字,provice_name,city_name,订单内容,成交金额,经度,纬度
1229,21988208,m_0875_omr2hn,山东,青岛,logo设计 原创 商标设计公司企业品牌图标制作字体VI设计,288,120.4651,36.3373
1230,21898013,m_0590_c51k7b,福建,宁德,我需要店铺视觉升级,500,119.6521,26.9824
1231,21744559,m_2406_gietee,广东,深圳,【威威实力设计】品牌logo设计详情页设计设计标志设计,488,114.5435,22.5439
1232,11184681,咕噜咕噜啊啊啊,四川,成都,村/社区logo设计,300,103.9526,30.7617
1233,21875839,m_9881_x1q1f0,广东,广州,区盟（广州） 区块链科技有限公司logo设计,500,113.5107,23.2196
1234,6559361,阳光下的劳作,广东,佛山,床的外观设计,3000,112.8955,23.1097
1235,19426662,t_3015ejgasb,广东,中山,微信开发、微商城、三级分销系统、APP、小程序、微官网,7000,113.4229,22.478
1236,10495205,culedon,广东,深圳,店铺装修 店铺设计 门头设计 效果图 餐饮娱乐设计 连锁HZ,2000,114.5435,22.5439
1237,21941967,t_5944_Ijo44r,广东,深圳,LOGO设计/商标设计/卡通logo/字体设计/企业logo,500,114.5435,22.5439
1238,21918921,t_3174_qmu7wz,广东,广州,诺旗贸易有限公司需要logo,500,113.5107,23.2196
1239,21757046,t_6710_Aq7534,上海,上海,美工包月 美工外包 淘宝美工 设计外包 详情页设计 整店装修,4000,121.4648,31.2891
1240,19985243,nobelmnhv,广东,广州,需要logo,500,113.5107,23.2196
1241,21844609,那夏呐,浙江,杭州,卡巴新能源汽车租赁（杭州）有限公司 制作三维金币建模,1000,119.5313,29.8773
1242,21523112,t_5792kw2hh2,浙江,杭州,(逐美）室内，家装，工装，公建，别墅，景观，漫游动画，鸟瞰图,500,119.5313,29.8773
1243,21817316,m_3986_26y4ae,重庆,重庆,中餐厅LOGO设计,1600,107.7539,30.1904
1244,21122197,t_3832Feodzj,贵州,黔东南苗族侗族自治州,我需要包装设计主题,40000,108.4241,26.4166
1245,21978863,闭着眼睛看风景,河北,张家口,整合营销品牌策划企业公司网站网络策划微博微信百度百科知道文案,604,115.1477,40.8527
1246,14277816,周某得生活,浙江,金华,excel-VBA开发 表格数据处理 工具制作模板 编写公式,260,120.0037,29.1028
1247,11310383,dada19910,重庆,重庆,QY项目模型款项,3500,107.7539,30.1904
1248,17588533,t_3866hfpgmn,安徽,宣城,抖音视频策划摄制微商网红包装影片后期配音特效剪辑制作包月服务,1000,118.8062,30.6244
1249,21864616,m_5640_k4m7z6,四川,成都,我需要VI系统设计,1788,103.9526,30.7617
1250,21970254,m_4225_iaonv0,山西,太原,整店代运营淘宝天猫代运营店铺托管京东运营拼多多代运营网店运营,39500,112.3352,37.9413
1251,6405875,ming03168,上海,上海,百度下拉框 相关搜索词指数口碑维护,945,121.4648,31.2891
1252,22029970,m_6525_rudpe8,浙江,杭州,淘宝天猫阿里京东猪八戒网店装修设计详情页主图设计【标准版】,100,119.5313,29.8773
1253,7456897,w13666956194_@Zbj,福建,三明,我需要网站前端开发,300,117.5317,26.3013
1254,6405875,微懒达人,上海,上海,我需要产品文案,700,121.4648,31.2891
1255,21912777,m_7481_3udfkb,浙江,嘉兴,【新用户福利】我需要企业抖音号代认证服务,0.1,120.9155,30.6354
1256,21962857,m_9831_7pqotf,辽宁,沈阳,【新用户福利】我需要0成本代理游戏服务,0.1,123.1238,42.1216
1257,19720568,t_2128oh30dg,广东,深圳,全网整合营销企业贴吧活动策划品牌口碑整合方案定制,75,114.5435,22.5439
1258,11696389,m_6726e130ou,四川,绵阳,餐饮设计 室内设计 效果图设计小吃店铺效果图设计,1200,104.7327,31.8713
1259,10390337,LY1235,浙江,杭州,我需要LOGO,500,119.5313,29.8773
1260,21869513,m_4084_7dsjs4,贵州,铜仁,PPT设计ppt制作演示汇报路演招商课件PPT简历PPT美化,50,108.6218,28.0096
1261,9912252,维雅兆聪,山东,莱芜,优化百度排名优化服务搜索引擎优化网站关键词优化,200,117.6526,36.2714
1262,21876289,m_3299_8fmzuv,江苏,苏州,【海报设计】折页设计/宣传单设计/易拉宝设计展板设计展架设计,500,120.6519,31.3989
1263,21838344,m_1887_hmhnee,陕西,西安,【匠二设计资深原创】公司logo企业标志设计商标logo设计,600,109.1162,34.2004
1264,21869175,alvin lee,广西,南宁,网络科技公司LOGO设计,560,108.479,23.1152
1265,21928987,m_1260_ngu8pu,上海,上海,【李栋】办公室设计公装效果图家装设计店铺设计餐厅设计购物空间,1500,121.4648,31.2891
